	ASF356	ASF360	ASF361	ASF457	ASF492	ASF500	ASF502	ASF519
J	0.0	0.0	0.030303030303	0.0	0.030303030303	0.030303030303	0.0606060606061	0.848484848485
K	0.0461538461538	0.0153846153846	0.0153846153846	0.0153846153846	0.0615384615385	0.0615384615385	0.0615384615385	0.723076923077
L	0.0519480519481	0.0	0.0649350649351	0.0519480519481	0.103896103896	0.0519480519481	0.142857142857	0.532467532468
D	0.0	0.142857142857	0.0	0.0	0.0	0.0	0.142857142857	0.714285714286
V	0.0434782608696	0.0	0.0	0.130434782609	0.0869565217391	0.0434782608696	0.130434782609	0.565217391304
T	0.0	0.0	0.025641025641	0.025641025641	0.025641025641	0.025641025641	0.0512820512821	0.846153846154
M	0.00877192982456	0.0175438596491	0.0175438596491	0.0526315789474	0.0789473684211	0.0	0.0350877192982	0.789473684211
N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
U	0.0	0.0	0.0	0.117647058824	0.0	0.0	0.0	0.882352941176
O	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.8
C	0.0588235294118	0.0	0.0	0.0588235294118	0.0294117647059	0.0	0.0294117647059	0.823529411765
G	0.0	0.0153846153846	0.0461538461538	0.0307692307692	0.0461538461538	0.0153846153846	0.0769230769231	0.769230769231
E	0.0227272727273	0.0227272727273	0.0	0.0227272727273	0.0454545454545	0.0227272727273	0.0909090909091	0.772727272727
F	0.0	0.0	0.0	0.0	0.111111111111	0.0	0.0555555555556	0.833333333333
H	0.0	0.0	0.0	0.115384615385	0.0384615384615	0.0	0.0384615384615	0.807692307692
I	0.0	0.0	0.0	0.0833333333333	0.0833333333333	0.0	0.166666666667	0.666666666667
P	0.0	0.0126582278481	0.0	0.0379746835443	0.0	0.0379746835443	0.0379746835443	0.873417721519
Q	0.0	0.0	0.166666666667	0.0	0.166666666667	0.0	0.0	0.666666666667
S	0.0236087689713	0.00505902192243	0.0134907251265	0.0185497470489	0.0252951096121	0.0202360876897	0.0337268128162	0.860033726813
