0.13333	0.012765	1
0.16667	0.012765	1
0.2	0.010563	1
0.23333	0.010563	1
0.26667	0.0091535	1
0.3	0.0091535	1
0.33333	0.0091535	1
0.36667	0.0083796	1
0.4	0.0083796	1
0.43333	0.007545	1
0.46667	0.0083796	1
0.5	0.007545	1
0.53333	0.007545	1
0.56667	0.0069141	1
0.6	0.007545	1
0.63333	0.007545	1
0.66667	0.007545	1
0.7	0.0055548	1
0.73333	0.0055548	1
0.76667	0.0055548	1
0.8	0.0039516	1
0.83333	0.0039516	1
0.86667	0.0039516	1
0.9	0.0039516	1
0.93333	0.0039516	1
0.96667	0.0039516	1
1	0.0039516	1
1.0333	0.0039516	1
1.0667	0.0039516	1
1.1	0.0039516	1
1.1333	0.0039516	1
1.1667	0.0039516	1
1.2	0.0039516	1
1.2333	0.0039516	1
1.2667	0.0039516	1
1.3	0.0039516	1
1.3333	0.0039516	1
1.3667	0.0039516	1
1.4	0.0039516	1
1.4333	0.0039516	1
1.4667	0.0039516	1
1.5	0.0039516	1
1.5333	0.0039516	1
1.5667	0.0039516	1
1.6	0.0025982	1
1.6333	0.0039516	1
1.6667	0.0039516	1
1.7	0.0039516	1
1.7333	0.0039516	1
1.7667	0.0039516	1
1.8	0.0039516	1
1.8333	0.0039516	1
1.8667	0.0039516	1
1.9	0.0039516	1
1.9333	0.0025982	1
1.9667	0.0039516	1
2	0.0039516	1
2.0333	0.0039516	1
2.0667	0.0039516	1
2.1	0.0031825	1
2.1333	0.001	1
2.1667	0.0039516	1
2.2	0.0045825	1
2.2333	0.0045825	1
2.2667	0.0045825	1
2.3	0.0032291	1
2.3333	0.0045825	1
2.3667	0.0045825	1
2.4	0.0045825	1
2.4333	0.0045825	1
2.4667	0.0045825	1
2.5	0.0045825	1
2.5333	0.0045825	1
2.5667	0.0052153	1
2.6	0.0052153	1
2.6333	0.0052153	1
2.6667	0.0052153	1
2.7	0.0052153	1
2.7333	0.0060472	1
2.7667	0.0059868	1
2.8	0.0060472	1
2.8333	0.0068186	1
2.8667	0.0074534	1
2.9	0.0074534	1
2.9333	0.0074534	1
2.9667	0.0074534	1
3	0.0074534	1
3.0333	0.0074534	1
3.0667	0.0074534	1
3.1	0.0074534	1
3.1333	0.0074534	1
